"","Country","All","Gold","Silver","Bronze"
"1","USA",4585,2235,1252,1098
"2","URS",2049,838,627,584
"3","GBR",1720,546,621,553
"4","FRA",1396,408,491,497
"5","GER",1305,452,378,475
"6","ITA",1296,476,416,404
"7","AUS",1189,312,405,472
"8","HUN",1079,412,316,351
"9","SWE",1044,349,367,328
"10","NED",851,233,279,339
"11","GDR",825,329,271,225
"12","CHN",807,290,296,221
"13","JPN",788,213,272,303
"14","RUS",768,239,238,291
"15","CAN",649,155,232,262
"16","ROU",640,157,195,288
"17","NOR",554,209,200,145
"18","KOR",529,158,204,167
"19","POL",511,106,174,231
"20","DEN",507,150,197,160
"21","FRG",490,143,167,180
"22","FIN",456,124,120,212
"23","ESP",442,98,227,117
"24","YUG",435,143,174,118
"25","BRA",431,73,173,185
"26","BEL",411,91,168,152
"27","CUB",410,165,129,116
"28","SUI",380,75,167,138
"29","BUL",333,53,143,137
"30","TCH",329,80,144,105
"31","EUA",260,68,100,92
"32","ARG",259,69,99,91
"33","EUN",223,92,65,66
"34","NZL",190,85,30,75
"35","IND",184,128,18,38
"36","UKR",173,41,42,90
"37","GRE",148,34,62,52
"38","AUT",146,21,81,44
"39","JAM",127,31,49,47
"40","PAK",121,42,45,34
"41","CRO",114,46,34,34
"42","BLR",113,17,37,59
"43","MEX",106,32,23,51
"44","RSA",106,30,39,37
"45","KEN",93,28,35,30
"46","TUR",86,38,25,23
"47","NGR",84,19,38,27
"48","URU",76,44,2,30
"49","IRI",61,16,21,24
"50","PRK",58,14,12,32
